Rank,book title,book price,rating,author,year of publication,genre,url,first_name,last_name,count genre,link,book,dp,id,ref,slug
1,"iron flame (the empyrean, 2)",18.42,4.1,rebecca yarros,2023,fantasy romance,amazon.com/iron-flame-empyrean-rebecca-yarros/dp/1649374178/ref=zg_bs_g_books_sccl_1/143-9831347-1043253?psc=1,rebecca,yarros,2,amazon.com,iron-flame-empyrean-rebecca-yarros,dp,1649374178,ref=zg_bs_g_books_sccl_1,143-9831347-1043253?psc=1
2,the woman in me,20.93,4.5,britney spears,2023,memoir,amazon.com/woman-me-britney-spears/dp/1668009048/ref=zg_bs_g_books_sccl_2/143-9831347-1043253?psc=1,britney,spears,1,amazon.com,woman-me-britney-spears,dp,1668009048,ref=zg_bs_g_books_sccl_2,143-9831347-1043253?psc=1
3,my name is barbra,31.5,4.5,barbra streisand,2023,autobiography,amazon.com/my-name-barbra-streisand/dp/0525429522/ref=zg_bs_g_books_sccl_3/143-9831347-1043253?psc=1,barbra,streisand,1,amazon.com,my-name-barbra-streisand,dp,0525429522,ref=zg_bs_g_books_sccl_3,143-9831347-1043253?psc=1
4,"friends, lovers, and the big terrible thing: a memoir",23.99,4.4,matthew perry,2023,memoir,amazon.com/friends-lovers-big-terrible-thing/dp/1250866448/ref=zg_bs_g_books_sccl_4/143-9831347-1043253?psc=1,matthew,perry,1,amazon.com,friends-lovers-big-terrible-thing,dp,1250866448,ref=zg_bs_g_books_sccl_4,143-9831347-1043253?psc=1
5,how to catch a turkey,5.65,4.8,adam wallace,2018,"childrens, fiction",amazon.com/how-catch-turkey-adam-wallace/dp/1492664359/ref=zg_bs_g_books_sccl_5/143-9831347-1043253?psc=1,adam,wallace,2,amazon.com,how-catch-turkey-adam-wallace,dp,1492664359,ref=zg_bs_g_books_sccl_5,143-9831347-1043253?psc=1
6,"fourth wing (the empyrean, 1)",16.99,4.8,rebecca yarros,2023,fantasy,amazon.com/fourth-wing-empyrean-rebecca-yarros/dp/1649374046/ref=zg_bs_g_books_sccl_6/143-9831347-1043253?psc=1,rebecca,yarros,1,amazon.com,fourth-wing-empyrean-rebecca-yarros,dp,1649374046,ref=zg_bs_g_books_sccl_6,143-9831347-1043253?psc=1
7,unwoke: how to defeat cultural marxism in america,27.43,4.3,unknown,2023,"nonfiction, politics",amazon.com/unwoke-defeat-cultural-marxism-america/dp/1684513626/ref=zg_bs_g_books_sccl_7/143-9831347-1043253?psc=1,unknown,,2,amazon.com,unwoke-defeat-cultural-marxism-america,dp,1684513626,ref=zg_bs_g_books_sccl_7,143-9831347-1043253?psc=1
8,no brainer (diary of a wimpy kid book 18),8.55,4.8,jeff kinney,2023,"humor, middle grade",amazon.com/brainer-diary-wimpy-kid-book/dp/1419766945/ref=zg_bs_g_books_sccl_8/143-9831347-1043253?psc=1,jeff,kinney,3,amazon.com,brainer-diary-wimpy-kid-book,dp,1419766945,ref=zg_bs_g_books_sccl_8,143-9831347-1043253?psc=1
9,killers of the flower moon: the osage murders and the birth of the fbi,9.86,4.4,david grann,2017,"nonfiction, true crime",amazon.com/killers-flower-moon-osage-murders/dp/0307742482/ref=zg_bs_g_books_sccl_9/143-9831347-1043253?psc=1,david,grann,3,amazon.com,killers-flower-moon-osage-murders,dp,0307742482,ref=zg_bs_g_books_sccl_9,143-9831347-1043253?psc=1
10,all the light we cannot see: a novel,11.98,4.5,anthony doerr,2014,historical fiction,amazon.com/all-light-we-cannot-see/dp/1501173219/ref=zg_bs_g_books_sccl_10/143-9831347-1043253?psc=1,anthony,doerr,2,amazon.com,all-light-we-cannot-see,dp,1501173219,ref=zg_bs_g_books_sccl_10,143-9831347-1043253?psc=1
11,the ballad of songbirds and snakes (a hunger games novel) (the hunger games),10.99,4.6,suzanne collins,2020,"adventure, war, science fiction, romance, action, thriller",amazon.com/ballad-songbirds-snakes-hunger-games/dp/1339016575/ref=zg_bs_g_books_sccl_11/143-9831347-1043253?psc=1,suzanne,collins,7,amazon.com,ballad-songbirds-snakes-hunger-games,dp,1339016575,ref=zg_bs_g_books_sccl_11,143-9831347-1043253?psc=1
