book title,book price,rating,author,year of publication,genre,first_name,last_name,count genre,id
"iron flame (the empyrean, 2)",18.42,4.1,rebecca yarros,2023,fantasy romance,rebecca,yarros,2,1649374178
the woman in me,20.93,4.5,britney spears,2023,memoir,britney,spears,1,1668009048
my name is barbra,31.5,4.5,barbra streisand,2023,autobiography,barbra,streisand,1,0525429522
"friends, lovers, and the big terrible thing: a memoir",23.99,4.4,matthew perry,2023,memoir,matthew,perry,1,1250866448
how to catch a turkey,5.65,4.8,adam wallace,2018,"childrens, fiction",adam,wallace,2,1492664359
"fourth wing (the empyrean, 1)",16.99,4.8,rebecca yarros,2023,fantasy,rebecca,yarros,1,1649374046
unwoke: how to defeat cultural marxism in america,27.43,4.3,unknown,2023,"nonfiction, politics",unknown,,2,1684513626
no brainer (diary of a wimpy kid book 18),8.55,4.8,jeff kinney,2023,"humor, middle grade",jeff,kinney,3,1419766945
killers of the flower moon: the osage murders and the birth of the fbi,9.86,4.4,david grann,2017,"nonfiction, true crime",david,grann,3,0307742482
all the light we cannot see: a novel,11.98,4.5,anthony doerr,2014,historical fiction,anthony,doerr,2,1501173219
the ballad of songbirds and snakes (a hunger games novel) (the hunger games),10.99,4.6,suzanne collins,2020,"adventure, war, science fiction, romance, action, thriller",suzanne,collins,7,1339016575
night (night),6.26,4.7,elie wiesel,1960,memoir,elie,wiesel,1,0374500010
atomic habits: an easy & proven way to build good habits & break bad ones,13.79,4.8,james clear,2018,"self-improvement, nonfiction",james,clear,2,0735211299
stocking stuffer mad libs: world's greatest word game,2.79,4.8,leigh olsen,2018,"childrens, storytime,fiction",leigh,olsen,2,1524788139
the 48 laws of power,13.82,4.7,robert greene,1998,nonfiction,robert,greene,1,0140280197
the great disappearance: 31 ways to be rapture ready,18.84,4.6,david jeremiah,2023,"spiritual warfare, biblical studies - prophecy, christian theology - eschatology",david,jeremiah,10,078525224x
lessons in chemistry: a novel,15.37,4.6,bonnie garmus,2022,"fiction, historical fiction",bonnie,garmus,3,038554734x
the exchange: after the firm (the firm series),18.96,4.1,john grisham,2023,"literary, thrillers - suspense",john,grisham,4,0385548958
taylor swift: a little golden book biography,4.78,4.9, wendy loggia,2023,"picture books, biography",,wendy loggia,3,0593566718
don't let the pigeon drive the sleigh!,11.99,4.8,mo willems,2023,"picture books, christmas, holiday, humor, childrens, fiction, animals",mo,willems,8,1454952776
turkey trouble,8.79,4.8,wendi silvano,2009,"picture books, childrens, holiday, animals, humor, storytime, fiction",wendi,silvano,8,0761455299
"the body keeps the score: brain, mind, and body in the healing of trauma",9.68,4.8,bessel van der kolk,2014,"nonfiction, psychology, self help, mental health, health, science",bessel,van der kolk,8,0143127748
"a court of thorns and roses (a court of thorns and roses, 1)",8.89,4.6,sarah j. maas,2015,"fantasy, romance, young adult, fiction, new adult, fae",sarah,j. maas,8,1635575567
a little life,11.83,4.5,hanya yanagihara,2015,"fiction, contemporary, lgbt, literary fiction, queer, adult, mental health",hanya,yanagihara,9,0804172706
"house of flame and shadow (crescent city, 3)",18.48,,sarah j. maas,2023,"fantasy, dragons, young adult, fiction, high fantasy, magic, science fiction, fantasy",sarah,j. maas,11,1635574102
"world of eric carle, around the farm 30-button animal sound book - great for first words - pi kids",9.43,4.8,editors of publications international,2013,"childrens, activities, crafts, games",editors,of publications international,4,1450805752
"goodnight, goodnight construction site (board book for toddlers, children's board book)",3.78,4.9,sherri duskey rinker,2011,"picture book, cars and trucks",sherri,duskey rinker,5,1452111731
the leaf thief: (the perfect fall book for children and toddlers),10.39,4.8,alice hemming,2021,childrens,alice,hemming,1,1728235200
murtagh: the world of eragon (the inheritance cycle),22.48,4.8,christopher paolini,2023,"fantasy, dragons, young adult, fiction, high fantasy, magic, science fiction, fantasy",christopher,paolini,11,0593650867
"brown bear, brown bear, what do you see?",4.94,4.9,bill martin jr.,1967,"picture book, colors, wild animals",bill,martin jr.,5,0805047905
balloons over broadway: the true story of the puppeteer of macy's parade (bank street college of education flora stieglitz st,12.19,4.9,bill martin jr.,1967,"childrens, literature",bill,martin jr.,2,0547199457
the four agreements: a practical guide to personal freedom (a toltec wisdom book),7.74,4.7,melissa sweet,2011,picture book,melissa,sweet,2,1878424319
the housemaid,8.11,4.5,don miguel ruiz,1997,"spirituality, self-help, personal growth",don,miguel ruiz,4,1538742578
how to know a person: the art of seeing others deeply and being deeply seen,19.89,4.5,alice walstead,2022,"thriller, mystery, suspense",alice,walstead,3,059323006x
the very hungry caterpillar,5.9,4.9,david brooks,2023,nonfiction,david,brooks,1,0399226907
how to catch a reindeer,5.99,4.8,eric carle,1969,"childrens, literature",eric,carle,2,1728276136
pookie's thanksgiving (little pookie),6.99,4.9,alice walstead,2022,"childrens, literature",alice,walstead,2,166592263x
"the psychology of money: timeless lessons on wealth, greed, and happiness",12.68,4.7,sandra boynton,2022,"picture books, childrens, holiday",sandra,boynton,4,0857197681
the seven husbands of evelyn hugo: a novel,9.49,4.6,morgan housel,2020,"finance, nonfiction, psychology, business, self help, money, economics",morgan,housel,8,1501161938
i love you to the moon and back,4.76,4.9,taylor jenkins reid,2017,historical fiction,taylor,jenkins reid,2,1589255518
outlive: the science and art of longevity,16.99,4.7,peter attia,2023,"health, nonfiction, science, self help",peter,attia,5,0593236599
hundred years' war on palestine,12.99,4.6,rashid khalidi,2019,"history, nonfiction, politics, war",rashid,khalidi,4,1250787653
little blue truck's christmas: a christmas holiday book for kids,11.2,4.8,alice schertle,2014,"childrens, literature",alice,schertle,2,0544320417
goodnight moon,5.36,4.9,margaret wise brown,1947,"childrens, literature",margaret,wise brown,2,0694003611
i am thankful: a thanksgiving book for kids,7.99,4.7,sheri wall,2020,"picture books, childrens",sheri,wall,3,1646115538
"how to be the love you seek: break cycles, find peace, and heal your relationships",20.11,,nicole lepera,2023,"self help, nonfiction, mental health, psychology, personal development, relationships",nicole,lepera,9,0063267748
a court of thorns and roses paperback box set (5 books),48.77,4.8,sarah j. maas,2021,"fantasy, romance",sarah,j. maas,2,1639730192
where's bluey?: a search-and-find book,6.93,4.8, penguin young readers licenses (,2022,"childrens, storytime,fiction",,penguin young readers licenses (,2,0593385691
the wonderful things you will be,9.4,4.9,emily winfield martin,2015,"picture books, childrens, fiction, poetry",emily,winfield martin,5,0385376715
how to catch a dinosaur,4.66,4.8,adam wallace,2019,"picture books, dinosaurs, childrens, fiction, storytime, fantasy, animals",adam,wallace,8,1492680524
hidden potential: the science of achieving greater things,21.0,4.4,adam m. grant,2023,"nonfiction, self help, psychology, business, leadership, personal development",adam,m. grant,8,0593653149
