author,season,rating,book price
 scholastic,Autumn,4.8,2.88
adam wallace,Autumn,4.8,5.315
adam wallace,Spring,4.8,6.7250000000000005
adam wallace,Winter,4.8,6.080000000000001
alice hemming,Autumn,4.8,10.39
alice walstead,Autumn,4.65,15.0525
alice walstead,Spring,4.9,6.99
alice walstead,Winter,4.9,6.989999999999999
americas test kitchen kids,Autumn,4.8,9.97
ann patchett,Autumn,4.3,15.33
ann patchett,Summer,4.3,15.33
anna dewdney,Autumn,4.7,5.67
anna dewdney,Summer,4.7,5.67
anna dewdney,Winter,4.7,5.67
anthony doerr,Autumn,4.5,11.98
anthony doerr,Spring,4.5,11.98
anthony doerr,Summer,4.5,11.98
anthony doerr,Winter,4.5,11.98
"bill martin jr., john archambault",Autumn,4.9,4.32
bonnie garmus,Autumn,4.6,15.37
britney spears,Autumn,4.5,20.93
colleen hoover,Autumn,4.6,10.98
colleen hoover,Summer,4.6,10.98
colleen hoover,Winter,4.6,10.98
david jeremiah,Autumn,4.6,18.84
don miguel ruiz,Autumn,4.5,8.11
"duopress labs, julissa mora",Autumn,4.9,4.73
editors of publications international,Autumn,4.8,9.43
eric carle,Autumn,4.8,5.99
eric carle,Spring,4.8,5.99
eric carle,Winter,4.8,5.99
freida mcfadden,Autumn,4.2,9.44
gabrielle lyon,Autumn,4.6,20.63
gary paulsen,Autumn,4.7,5.14
gary paulsen,Summer,4.7,5.14
gary paulsen,Winter,4.7,5.14
h.d. carlton,Autumn,4.4,13.36
h.d. carlton,Summer,4.4,13.36
h.d. carlton,Winter,4.4,13.36
j.k. rowling,Autumn,4.9,25.97
janet evanovich,Autumn,4.7,20.98
jeff kinney,Autumn,4.8,8.55
jordan moore,Autumn,4.6,12.89
keila shaheen,Autumn,4.65,17.87
leigh olsen,Autumn,4.8,2.79
leigh olsen,Spring,4.8,2.79
leigh olsen,Winter,4.8,2.7900000000000005
lucy score,Autumn,4.55,9.209999999999999
lucy score,Spring,4.5,8.93
lucy score,Summer,4.55,9.21
lucy score,Winter,4.566666666666666,9.303333333333333
matthew perry,Autumn,4.4,23.99
matthew perry,Winter,4.4,23.99
melissa sweet,Autumn,4.7,7.739999999999999
melissa sweet,Spring,4.7,7.74
melissa sweet,Summer,4.7,7.74
melissa sweet,Winter,4.7,7.74
mo willems,Autumn,4.8,11.99
morgan housel,Autumn,4.6,9.49
morgan housel,Spring,4.6,9.49
noa tishby,Autumn,4.7,15.59
not available,Autumn,4.6,16.74
peter pauper press,Autumn,4.6,12.99
peter pauper press,Summer,4.6,12.99
rashid khalidi,Autumn,4.6,12.99
rashid khalidi,Spring,4.6,12.99
rashid khalidi,Summer,4.6,12.99
rebecca yarros,Autumn,4.8,16.99
rebecca yarros,Summer,4.8,16.99
rick riordan,Autumn,4.7,15.63
robert kiyosaki,Autumn,4.7,6.31
robert kiyosaki,Summer,4.7,6.31
rose rossner,Autumn,4.9,5.37
sandra boynton,Autumn,4.9,3.69
sarah j. maas,Autumn,4.748148148148148,24.922592592592597
sarah j. maas,Spring,4.75,11.2
sarah j. maas,Summer,4.771428571428571,11.705714285714285
sarah j. maas,Winter,4.699999999999999,10.225000000000001
sheri wall,Autumn,4.7,7.99
sheri wall,Winter,4.7,7.99
sherri duskey rinker,Autumn,4.9,3.78
snoop dogg,Autumn,4.8,12.15
suzanne collins,Autumn,4.6,13.39
suzanne collins,Spring,4.6,13.39
suzanne collins,Summer,4.6,13.39
taylor jenkins reid,Autumn,4.9,4.76
walter isaacson,Autumn,4.7,20.99
workman publishing,Autumn,4.8,6.06
workman publishing,Spring,4.8,6.06
workman publishing,Summer,4.8,6.06
workman publishing,Winter,4.8,6.06
